Modelo,MAE_Train,RMSE_Train,R2_Train,MAE_Test,RMSE_Test,R2_Test,CV_R2_Mean,CV_R2_Std
Lasso,2514.39,2906.49,0.9805,2548.8,2925.21,0.9806,0.9804,0.0007
LinearRegression,2513.76,2906.33,0.9805,2549.53,2926.43,0.9805,0.9803,0.0007
Ridge,2513.77,2906.36,0.9805,2549.18,2925.63,0.9805,0.9803,0.0007
GradientBoosting,2069.92,2462.19,0.986,2707.22,3168.07,0.9772,0.9776,0.0008
RandomForest,1333.54,1632.56,0.9939,2788.09,3331.17,0.9748,0.9751,0.0009
DecisionTree,2872.0,3852.86,0.9658,3762.47,4678.85,0.9503,0.9493,0.0021
